protein	p-value
Apolipoprotein A-I	7.73E-05
Ig gamma-2 chain C region	0.000111281
Ig kappa chain C region	0.000325241
Pregnancy zone protein	0.000688848
Clusterin	0.000945646
Alpha-1-acid glycoprotein 1	0.000985001
Apolipoprotein A-IV	0.001086298
Keratin, type I cytoskeletal 9	0.00302029
Polymeric immunoglobulin receptor	0.003761233
Pappalysin-1	0.006427051
Keratin, type II cytoskeletal 6A	0.009836746
Kininogen-1	0.010162849
Galectin-3-binding protein	0.010266114
Proteasome subunit alpha type-6	0.013706438
Apolipoprotein D	0.015482915
Choline transporter-like protein 2	0.015625509
REVERSED 14-3-3 protein epsilon 	0.016134336
Fibrinogen alpha chain	0.017168803
Hemoglobin subunit zeta	0.018307367
Fibronectin	0.01876483
Complement factor H	0.018934737
Immunoglobulin lamda variable 3-27	0.020348727
Immunoglobulin heavy variable 2-26	0.020573595
Immunoglobulin J chain	0.020645063
Antithrombin-III	0.020688993
Inter-alpha-trypsin inhibitor heavy chain H4	0.02273915
Grancalcin	0.025163298
Uncharacterized protein	0.025213928
Glutathione peroxidase	0.026342501
Ras-related protein Ral-A 	0.026371307
Alpha-actinin-1	0.030065715
Fibrinogen gamma chain	0.033058521
Brain acid soluble protein 1	0.034643441
Prothrombin	0.03720899
Plasma protease C1 inhibitor	0.043298264
Keratin, type II cytoskeletal 8	0.043860757
Prominin-1	0.045771839
Apolipoprotein(a)	0.047308101
Mannan-binding lectin serine protease 2	0.047611374
Retinoic acid-induced protein 3	0.04805158
Retinol-binding protein 4	0.048054372
Epidermal growth factor receptor kinase substrate 8	0.048617695
