protein	p-value
Ig kappa chain C region	8.25E-05
Glutathione peroxidase	0.000364817
Apolipoprotein A-I	0.000734951
Brain acid soluble protein 1	0.002765554
Pappalysin-1	0.003047042
Pregnancy zone protein	0.00331043
Protein AMBP	0.004917224
Keratin, type II cytoskeletal 4	0.007328246
Heat shock protein beta-1	0.009791246
Apolipoprotein A-IV	0.014966102
Calcium-binding protein 39-like	0.01780106
REVERSED Alpha-2-macroglobulin	0.01991685
Immunoglobulin lamda variable 3-27	0.02101385
Inter-alpha-trypsin inhibitor heavy chain H1	0.024544584
Clusterin	0.028165078
Ceruloplasmin	0.028251529
Haptoglobin	0.029110151
Complement factor H-related protein 2	0.029442054
Inter-alpha-trypsin inhibitor heavy chain H2	0.03105207
Cathelicidin antimicrobial peptide	0.031093063
Hemoglobin subunit gamma-1	0.032050711
Adenylate monophosphate kinase	0.033207081
Alpha-actinin-1	0.033844372
Band 3 anion transport protein	0.037093036
Hemoglobin subunit zeta	0.039734453
Pregnancy-specific beta-1-glycoprotein 9	0.041454674
Uncharacterized protein	0.043124596
Immunoglobulin heavy variable 4-59	0.044874661
Polymeric immunoglobulin receptor	0.046670851
Prolactin-inducible protein	0.048111238
Plasma protease C1 inhibitor	0.0484296
