uniprot-id	protein	gene	p-value
P16070	CD44 antigen	CD44	0.0323585340015235
Q07954	Prolow-density lipoprotein receptor-related protein 1	LRP1	0.0341781359567798
V9HW87	Abhydrolase domain containing 14B, isoform CRA_a	HEL-S-299	0.0452941096045012
Q6UWP8	Suprabasin	SBSN	0.0373896921176674
J3KNP4	Semaphorin-4B	SEMA4B	0.0206900176256299
Q6P520	Pregnancy specific beta-1-glycoprotein 4	PSG4	0.0344335725993703
Q92859	Neogenin	NEO1	0.00781688126119195
P05362	Intercellular adhesion molecule 1	ICAM1	0.0229372940519236
A0A0A0MRJ7	Coagulation factor V	F5	0.0468385776302368
Q59GW6	Acetyl-CoA acetyltransferase, cytosolic variant (Fragment)	.	0.0282165804728353
Q9UHG3	Prenylcysteine oxidase 1	PCYOX1	0.0216205254965892
Q12841	Follistatin-related protein 1	FSTL1	0.0324566131140458
B4DZM1	cDNA FLJ58310, highly similar to Homo sapiens trinucleotide repeat containing 15 (TNRC15), mRNA	.	0.0305849367735558
B3KWB5	cDNA FLJ42722 fis, clone BRAMY4000277, highly similar to Alpha-1B-glycoprotein	.	0.0312174446270714
A0A087WTY6	Neuroblastoma suppressor of tumorigenicity 1	NBL1	0.0440251104056628
A0A140VJC8	Testicular tissue protein Li 2	.	0.0272902596205327
Q53HT9	Complement component 1, r subcomponent variant (Fragment)	.	0.0331274485041245
A0A0S2Z3Y1	Lectin galactoside-binding soluble 3 binding protein isoform 1 (Fragment)	LGALS3BP	0.00656516265343267
P12821	Angiotensin-converting enzyme	ACE	0.0412861479612314
D3DRP5	Chromosome 9 open reading frame 19, isoform CRA_a (Fragment)	C9orf19	0.0169021923948349
Q15166	Serum paraoxonase/lactonase 3	PON3	0.0433580876770621
Q13867	Bleomycin hydrolase	BLMH	0.00500572594426482
B2RAS2	cDNA, FLJ95079, highly similar to Homo sapiens cat eye syndrome chromosome region, candidate 1 (CECR1), mRNA	.	0.0242966737509864
J3KQ66	Reelin	RELN	0.0273065153989964
P14543	Nidogen-1	NID1	0.0181372409492117
Q9HCU0	Endosialin	CD248	0.043648867745316
Q6H9L7	Isthmin-2	ISM2	0.00957169838125448
Q9NQ79	Cartilage acidic protein 1	CRTAC1	0.0401813858424724
P18065	Insulin-like growth factor-binding protein 2	IGFBP2	0.00475053296694225
A8K7Q1	cDNA FLJ77770, highly similar to Homo sapiens nucleobindin 1 (NUCB1), mRNA	.	0.0260117377994596
A0A024R9J3	Collectin sub-family member 10 (C-type lectin), isoform CRA_a	COLEC10	0.0414778806897372
Q96PD5	N-acetylmuramoyl-L-alanine amidase	PGLYRP2	0.0214995529743308
A0A024R728	Met proto-oncogene (Hepatocyte growth factor receptor), isoform CRA_a	MET	0.0431165164803739
Q9BS40	Latexin	LXN	0.0435807564563137
A8K061	cDNA FLJ77880, highly similar to Homo sapiens angiopoietin-like 3, mRNA	.	0.00841078015839272
Q6P988	Palmitoleoyl-protein carboxylesterase NOTUM	NOTUM	0.00672843129798091
A8K7G6	cDNA FLJ75763, highly similar to Homo sapiens regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein) (REG1A), mRNA	.	0.00964849732938177
Q15113	Procollagen C-endopeptidase enhancer 1	PCOLCE	0.0149200966252899
Q9BXP8	Pappalysin-2	PAPPA2	0.00586257117345378
P23141	Liver carboxylesterase 1	CES1	0.0408957678421612
