uniprot.id	protein	gene	protein.orig	p.value
P05109	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8	protein S100-A8	4.4e-05
P80511	Protein S100-A12 (CGRP) (Calcium-binding protein in amniotic fluid 1) (CAAF1) (Calgranulin-C) (CAGC) (Extracellular newly identified RAGE-binding protein) (EN-RAGE) (Migration inhibitory factor-related protein 6) (MRP-6) (p6) (Neutrophil S100 protein) (S100 calcium-binding protein A12) [Cleaved into: Calcitermin]	S100A12	protein S100-A12	2.7e-02
P08246	Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase)	ELA2	leukocyte elastase precursor	2.0e-02
Q9HD89	Resistin (Adipose tissue-specific secretory factor) (ADSF) (C/EBP-epsilon-regulated myeloid-specific secreted cysteine-rich protein) (Cysteine-rich secreted protein A12-alpha-like 2) (Cysteine-rich secreted protein FIZZ3)	RETN	resistin precursor	8.0e-04
NA	NA	TMSL3	thymosin-like 3	2.0e-03
P05164	Peroxidase (Myeloperoxidase) (EC 1.11.1.7)	MPO	isoform H17 of Myeloperoxidase precursor	2.1e-03
P59665	NA	DEFA1; LOC653600; LOC728358	neutrophil defensin 1 precursor	5.5e-04
Q15819	Ubiquitin-conjugating enzyme E2 variant 2 (DDVit 1) (Enterocyte differentiation-associated factor 1) (EDAF-1) (Enterocyte differentiation-promoting factor 1) (EDPF-1) (MMS2 homolog) (Vitamin D3-inducible protein)	UBE2V2	ubiquitin-conjugating enzyme E2 variant 2	2.9e-02
P06702	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100A9	protein S100-A9	3.8e-04
P08311	Cathepsin G (CG) (EC 3.4.21.20) [Cleaved into: Cathepsin G, C-terminal truncated form]	CTSG	cathepsin G precursor	4.6e-03
Q99880	Histone H2B type 1-L (Histone H2B.c) (H2B/c)	HIST1H2BL	histone H2B type 1-L	2.5e-03
P49913	Chromosome alignment-maintaining phosphoprotein 1 (Zinc finger protein 828)	CAMP	antibacterial protein FALL-39 precursor	2.9e-02
P14780	Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9]	MMP9	matrix metalloproteinase-9 precursor	8.2e-04
P35579	Myosin-9	MYH9	Myosin-9	1.2e-03
Q71DI3	NA	HIST2H3C; HIST2H3A	histone H3.2	8.4e-03
P43490	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)	PBEF1	isoform 1 of nicotinamide phosphoribosyltransferase	1.2e-03
E5RIZ5	NA	PPIA; LOC653214; LOC654188	peptidyl-prolyl cis-trans isomerase A	4.3e-05
P06733	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1	Isoform α-enolase of α-enolase	5.4e-03
Q3V793	NA	FKBP12	FK506-binding protein 12	7.3e-05
P16402	Histone H1.3 (Histone H1c) (Histone H1s-2)	HIST1H1D	histone H1.3	1.7e-02
C9JTX5	ACTB protein	ACTB	actin, cytoplasmic 1	8.9e-06
Q8WUW7	Pyruvate kinase (EC 2.7.1.40)	PKM2	isoform M1 of Pyruvate kinase isozymes M1/M2	3.9e-04
Q5TBN5	Plastin-2	LCP1	plastin-2	3.2e-04
P62805	NA	HIST1H4E; HIST1H4F; HIST1H4A; HIST1H4K; HIST1H4C; HIST1H4L; HIST2H4A; HIST1H4D; HIST2H4B; HIST1H4H; HIST1H4B; HIST1H4I; HIST1H4J; HIST4H4	histone H4	3.8e-03
V9HWI5	Cofilin-1 (Cofilin, non-muscle isoform)	CFL1	cofilin-1	2.4e-04
P02788	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]	LTF	growth-inhibiting protein 12	3.2e-04
O75594	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)	PGLYRP1	peptidoglycan recognition protein precursor	7.8e-05
P08637	Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (CD16-II) (CD16a antigen) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcRIII) (FcRIIIa) (FcgammaRIIIA) (FcR-10) (IgG Fc receptor III-2) (CD antigen CD16a)	FCGR3A	low affinity immunoglobulin-γ-Fc region receptor III-A precursor	6.1e-04
Q5ZEZ4	Alpha-actinin 1	ACTN1	α-actinin-1	2.9e-02
Q5VU61	TPM3 protein (cDNA FLJ32435 fis, clone SKMUS2001287, highly similar to Tropomyosin alpha-3 chain)	TPM3	29 kDa protein	1.3e-03
P29401	Epididymis luminal protein 107 (Transketolase (Wernicke-Korsakoff syndrome), isoform CRA_a) (Transketolase isoform 1)	TKT	transketolase variant (Fragment)	3.4e-04
Q4VY20	14-3-3 protein beta/alpha	YWHAB	isoform long of 14-3-3 protein β/α	4.0e-05
X6R8F3	Neutrophil gelatinase-associated lipocalin	LCN2	neutrophil gelatinase-associated lipocalin precursor	7.0e-03
P40925	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Aromatic alpha-keto acid reductase) (KAR) (EC 1.1.1.96) (Cytosolic malate dehydrogenase)	MDH1	malate dehydrogenase, cytoplasmic	4.1e-03
P40121	Condensin complex subunit 3 (Chromosome-associated protein G) (Condensin subunit CAP-G) (hCAP-G) (Melanoma antigen NY-MEL-3) (Non-SMC condensin I complex subunit G) (XCAP-G homolog)	CAPG	macrophage-capping protein	2.7e-04
P11215	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b)	ITGAM	integrin α-M precursor	1.2e-03
V9HWE1	Vimentin	VIM	vimentin	4.5e-05
P36222	Cartilage glycoprotein-39	CHI3L1	chitinase-3-like protein 1 precursor	5.2e-04
