protein	gene	gene.again	p-value	q-value
Sucrase-isomaltase, intestinal	SUIS	SI	3.72E-05	0.012145
Mucin-13	MUC13	MUC13	1.28E-04	0.015278
Glycodelin	PAEP	PAEP	2.47E-02	0.027545
Calumenin	CALU	CALU	3.38E-04	0.009922
Insulin-like growth factor-binding protein 7	IBP7	IGFBP7	3.08E-02	0.015678
Ig lambda-7 chain C region	LAC7	IGLC7	8.57E-03	0.01726
Creatine kinase B-type	KCRB	CKB	3.15E-06	0.00062
Periostin	POSTN	POSTN	2.14E-03	0.011479
Apolipoprotein B-100	APOB	APOB	3.17E-02	0.019494
Calcium-binding protein 39	CAB39	CAB39	1.31E-03	0.012618
Alpha-fetoprotein	FETA	AFP	5.54E-03	0.016211
Coiled-coil domain-containing protein 80	CCD80	CCDC80	1.48E-02	0.015702
Protein ERGIC-53	LMAN1	LMAN1	1.04E-03	0.011251
Mimecan	MIME	OGN	9.17E-03	0.018053
SPARC	SPRC	SPARC	8.90E-03	0.017934
ProSAAS	PCSK1	PCSK1N	8.32E-04	0.020359
Chromogranin-A	CMGA	CHGA	6.48E-03	0.015877
Na(+)/H(+) exchange regulatory cofactor NHE-RF1	NHRF1	SLC9A3R1	3.94E-03	0.012107
45 kDa calcium-binding protein	CAB45	SDF4	5.47E-03	0.018764
Lipolysis-stimulated lipoprotein receptor	LSR	LSR	9.45E-04	0.011703
Golgi membrane protein 1	GOLM1	GOLM1	2.84E-03	0.015639
Angiotensin-converting enzyme 2	ACE2	ACE2	8.32E-03	0.021355
Protein disulfide-isomerase A6	PDIA6	PDIA6	2.22E-03	0.012574
Histidine-rich glycoprotein	HRG	HRG	7.76E-03	0.016057
Cadherin-2	CADH2	CDH2	7.87E-03	0.026683
Lysosomal protective protein	PPGB	CTSA	2.79E-02	0.023932
Trans-Golgi network integral membrane protein 2	TGON2	TGOLN2	1.16E-02	0.023044
Gamma-glutamyl hydrolase	GGH	GGH	5.14E-03	0.0137
Reticulocalbin-1	RCN1	RCN1	1.97E-02	0.030929
Collagen alpha-2(I) chain	CO1A2	COL1A2	3.13E-02	0.041558
Latent-transforming growth factor beta-binding protein 1	LTBP1	LTBP1	3.23E-02	0.034407
Epidermal growth factor receptor kinase substrate 8-like protein 2	ES8L2	EPS8L2	2.07E-02	0.024991
Ribonuclease pancreatic	RNAS1	RNASE1	9.65E-03	0.01846
