uniprot.id	gene	protein	nPeptides	p-value
P0CG48	UBC	Polyubiquitin-C	7	3.82E-04
P01215	GLHA	Glycoprotein hormones alpha chain	3	2.28E-03
P31948	STIP1	Stress-induced-phosphoprotein 1	2	4.77E-02
P09228	CYTT	Cystatin-SA	5	5.18E-03
P31025	LCN1	Lipocalin-1	22	7.30E-03
P03973	SLPI	Antileukoproteinase	28	2.66E-04
P59666	DEF3	Neutrophil defensin 3	10	3.59E-06
P02675	FIBB	Fibrinogen beta chain	63	4.84E-02
P02768	ALBU	Serum albumin	21	8.51E-03
P09466	PAEP	Glycodelin	21	8.51E-03
P00915	CAH1	Carbonic anhydrase 1	51	4.96E-02
P07358	CO8B	Complement component C8 beta chain	16	2.84E-03
P02452	CO1A1	Collagen alpha-1(I) chain	121	2.22E-02
P60174	TPIS	Triosephosphate isomerase	27	6.30E-04
P60709	ACTB	Actin, cytoplasmic 1	91	1.49E-07
P43490	NAMPT	Nicotinamide phosphoribosyltransferase	10	1.63E-02
Q9HC84	MUC5B	Mucin-5B	77	7.28E-03
Q9BRK3	MXRA8	Matrix-remodeling-associated protein 8	5	2.61E-02
P20930	FILA	Filaggrin	10	2.69E-02
P35030	TRY3	Trypsin-3	7	1.90E-02
P14384	CBPM	Carboxypeptidase M	14	7.30E-03
P69905	HBA	Hemoglobin subunit alpha	199	5.90E-03
