uniprot.id	protein	gene	p.value
NA	NA	NA	0.024
NA	NA	NA	0.021
NA	NA	NA	0.015
NA	NA	NA	0.024
NA	NA	NA	0.034
Q96J88	Epithelial-stromal interaction protein 1	ESIP1	0.048
NA	NA	NA	0.031
NA	NA	NA	0.045
NA	NA	NA	0.004
NA	NA	NA	0.011
NA	NA	NA	0.011
P02768	Serum albumin	ALBU	0.048
NA	NA	NA	0.023
NA	NA	NA	0.016
NA	NA	NA	0.044
NA	NA	NA	0.03
NA	NA	NA	0.015
Q14185	Dedicator of cytokinesis protein 1	DOCK1	0.024
P54577	Tyrosine-tRNA ligase, cytoplasmic	SYYC	0.028
NA	NA	NA	0.033
A6NI87	Protein chibby homolog 3	CBY3	0.019
P02795	Metallothionein-2	MT2	0.014
P42702	Leukemia inhibitory factor receptor	LIFR	0.028
NA	NA	NA	0.021
Q96HN2	Adenosylhomocysteinase 3	SAHH3	0.012
NA	NA	NA	0.016
NA	NA	NA	0.003
NA	NA	NA	0.036
P43080	Guanylyl cyclase-activating protein 1	GUC1A	0.026
NA	NA	NA	0.044
NA	NA	NA	0.017
NA	NA	NA	0.041
NA	NA	NA	0.042
NA	NA	NA	5e-04
NA	NA	NA	0.044
NA	NA	NA	0.006
NA	NA	NA	0.002
NA	NA	NA	0.024
NA	NA	NA	0.047
NA	NA	NA	0.043
NA	NA	NA	0.03
NA	NA	NA	0.009
NA	NA	NA	0.022
NA	NA	NA	0.039
NA	NA	NA	0.006
NA	NA	NA	0.007
NA	NA	NA	0.01
NA	NA	NA	0.016
NA	NA	NA	5e-04
NA	NA	NA	0.049
NA	NA	NA	0.026
NA	NA	NA	0.045
NA	NA	NA	0.005
NA	NA	NA	0.041
NA	NA	NA	0.006
NA	NA	NA	0.013
NA	NA	NA	0.026
NA	NA	NA	0.025
NA	NA	NA	0.001
