Spot.label	p-value
1	0.024
2	0.021
3	0.015
4	0.024
5	0.034
6	0.048
7	0.031
8	0.045
9	0.004
10	0.011
11	0.011
12	0.048
13	0.023
14	0.016
15	0.044
16	0.03
17	0.015
18	0.024
19	0.028
20	0.033
21	0.019
22	0.014
23	0.028
24	0.021
25	0.012
26	0.016
27	0.003
28	0.036
29	0.026
30	0.044
31	0.017
32	0.041
33	0.042
34	0.0005
35	0.044
36	0.006
37	0.002
38	0.024
39	0.047
40	0.043
41	0.03
42	0.009
43	0.022
44	0.039
45	0.006
46	0.007
47	0.01
48	0.016
49	0.0005
50	0.049
51	0.026
52	0.045
53	0.005
54	0.041
55	0.006
56	0.013
57	0.026
58	0.025
59	0.001

