uniprot.id	protein	p.value
P01834	Ig kappa chain C region	8.25e-05
V9HWN8	Glutathione peroxidase	0.000364817
F8W696	Apolipoprotein A-I	0.000734951
U3KQP0	Brain acid soluble protein 1	0.002765554
Q13219	Pappalysin-1	0.003047042
F5GXY0	Pregnancy zone protein	0.00331043
S4R471	Protein AMBP	0.004917224
F8VZR6	Keratin, type II cytoskeletal 4	0.007328246
A0A6Q8PHJ6	Heat shock protein beta-1	0.009791246
Q15969	Apolipoprotein A-IV	0.014966102
Q5TAW7	Calcium-binding protein 39-like	0.01780106
P01023	REVERSED Alpha-2-macroglobulin	0.01991685
P01718	Immunoglobulin lambda variable 3-27	0.02101385
H7C5I0	Inter-alpha-trypsin inhibitor heavy chain H1	0.024544584
Q8IWM0	Clusterin	0.028165078
Q1L857	Ceruloplasmin	0.028251529
Q14552	Haptoglobin	0.029110151
V9GYE7	Complement factor H-related protein 2	0.029442054
Q5T987	Inter-alpha-trypsin inhibitor heavy chain H2	0.03105207
J3KNB4	Cathelicidin antimicrobial peptide	0.031093063
P69891	Hemoglobin subunit gamma-1	0.032050711
P00568	Adenylate monophosphate kinase	0.033207081
H9KV75	Alpha-actinin-1	0.033844372
A0A173G8H7	Band 3 anion transport protein	0.037093036
P02008	Hemoglobin subunit zeta	0.039734453
M0R0E4	Pregnancy-specific beta-1-glycoprotein 9	0.041454674
V9H0B5	Uncharacterized protein	0.043124596
P01825	Immunoglobulin heavy variable 4-59	0.044874661
Q8TE27	Polymeric immunoglobulin receptor	0.046670851
P12273	Prolactin-inducible protein	0.048111238
H9KV48	Plasma protease C1 inhibitor	0.0484296
