uniprot.id	protein.names	Protein.IDs	Gene.names.SINGLE	logP	q.value
Q9H1X3-3	Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	Q9H1X3-3;A0A024R161;P50151	hCG_1994888	1.938579969	0.035613502
A0A024R4M0	40S ribosomal protein S9	A0A024R4M0;P46781;B5MCT8;C9JM19	RPS9	2.645665739	0.0093795
F2Z2M1	Leukocyte-specific transcript 1 protein	F2Z2M1;A0A024RCL9;O00453-6;O00453-4;O00453-10;O00453-13;O00453-3;O00453-2;O00453;O00453-11	LST1	2.516862275	0.011937948
A0A075B6K5		A0A075B6K5	IGLV3-9	0.070133464	0.911638878
A0A075B6S6	Ig kappa chain V-II region RPMI 6410	A0A075B6S6;P06310	IGKV2D-30	1.845013646	0.042034477
F8VYV2	60S ribosomal protein L18	F8VYV2;A0A075B7A0;G3V203;H0YHA7;J3QQ67;Q07020-2;Q07020;F8VUA6	RPL18	1.026044962	0.183816012
V9HW75	Nucleobindin-2;Nesfatin-1	V9HW75;A0A087WSV8;H0YEG8;Q2L696;P80303-2;P80303;E9PKG6;H0YD18	HEL-S-109	2.952782241	0.00521889
A0A087WVU0	Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR4, N-terminally processed	A0A087WVU0;A0A087WT92;Q0VGL1	LAMTOR4	0.565299618	0.410830823
A0A087WTT1	Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein 4	A0A087WTT1;E7EQV3;E7ERJ7;P11940-2;P11940;H0YBN4;B1ANR0;Q13310-2;Q13310;Q13310-3;H0YER0;E5RHG7;E5RGH3;E5RH24;E5RJB9;B1ANR1;H0YAS7;H0YAS6;H0YB75;H0Y6X6;H0YAR2;H0Y5F5;Q9H361	PABPC1	9.823432182	2.73e-08
A0A087WU29	Glycophorin-A	A0A087WU29;A0A0C4DFT7;P02724-3;P02724-2;P02724;Q13030;E7EQF3;E9PD10;E9PH25	GYPA	4.012964846	0.000762429
A0A087WU31	Chloride channel protein;H(+)/Cl(-) exchange transporter 3	A0A087WU31;A0A0A0MTB7;P51790-4;P51790-5;P51790;E9PE15;H0Y8Z8	CLCN3	3.655197874	0.001503063
J3KNQ3	26S proteasome non-ATPase regulatory subunit 13	J3KNQ3;A0A087WUL9;Q9UNM6;E9PL38;Q9UNM6-2;E9PQG3;H0YD73;E9PPD2;F8W8J6	PSMD13	4.212561146	0.000520119
F8W7C6	60S ribosomal protein L10	F8W7C6;A0A087WV22;X1WI28;P27635	RPL10	3.827752531	0.001065918
A0A087WV69	Period circadian protein homolog 3	A0A087WV69;P56645;P56645-2	PER3	5.204864383	8.23e-05
