Protein IDs	protein names	Gene names SINGLE	ENSG	ENSP	logP	q-value
Q9H1X3-3;A0A024R161;P50151	Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	hCG_1994888	ENSG00000242616	ENSP00000363411	1.938579969	0.035613502
A0A024R4M0;P46781;B5MCT8;C9JM19	40S ribosomal protein S9	RPS9	ENSG00000170889;ENSG00000274005;ENSG00000274626;ENSG00000274646;ENSG00000274950;ENSG00000275323;ENSG00000277079;ENSG00000277359;ENSG00000278081;ENSG00000278270;ENSG00000170889	ENSP00000302896;ENSP00000375632;ENSP00000375633;ENSP00000478449;ENSP00000479917;ENSP00000480135;ENSP00000480662;ENSP00000481194;ENSP00000481553;ENSP00000481655;ENSP00000481764;ENSP00000481822;ENSP00000482023;ENSP00000482274;ENSP00000482338;ENSP00000482475;ENSP00000483179;ENSP00000484394;ENSP00000375631;ENSP00000383937;ENSP00000391823;ENSP00000399623;ENSP00000406159;ENSP00000414314;ENSP00000485771	2.645665739	0.0093795
F2Z2M1;A0A024RCL9;O00453-6;O00453-4;O00453-10;O00453-13;O00453-3;O00453-2;O00453;O00453-11	Leukocyte-specific transcript 1 protein	LST1	ENSG00000204482	ENSP00000211921;ENSP00000339201;ENSP00000365254;ENSP00000365258;ENSP00000365261;ENSP00000365267;ENSP00000379408;ENSP00000379418;ENSP00000399869;ENSP00000417645;ENSP00000418578	2.516862275	0.011937948
A0A075B6K5		IGLV3-9	ENSG00000211670	ENSP00000374851	0.070133464	0.911638878
A0A075B6S6;P06310	Ig kappa chain V-II region RPMI 6410	IGKV2D-30	ENSG00000239571	ENSP00000418948	1.845013646	0.042034477
F8VYV2;A0A075B7A0;G3V203;H0YHA7;J3QQ67;Q07020-2;Q07020;F8VUA6	60S ribosomal protein L18	RPL18	ENSG00000063177	ENSP00000084795;ENSP00000446634;ENSP00000447001;ENSP00000447894;ENSP00000448899;ENSP00000449067;ENSP00000449204;ENSP00000449610;ENSP00000470988	1.026044962	0.183816012
V9HW75;A0A087WSV8;H0YEG8;Q2L696;P80303-2;P80303;E9PKG6;H0YD18	Nucleobindin-2;Nesfatin-1	HEL-S-109	ENSG00000070081	ENSP00000320168;ENSP00000408702;ENSP00000431136;ENSP00000431328;ENSP00000431334;ENSP00000432741;ENSP00000433194;ENSP00000433542;ENSP00000435160;ENSP00000435558;ENSP00000435787;ENSP00000435968;ENSP00000436215;ENSP00000436455;ENSP00000481959	2.952782241	0.00521889
A0A087WVU0;A0A087WT92;Q0VGL1	Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR4, N-terminally processed	LAMTOR4	ENSG00000188186	ENSP00000343118;ENSP00000387926;ENSP00000477680;ENSP00000478095;ENSP00000479176;ENSP00000479500;ENSP00000479685;ENSP00000480432;ENSP00000481202;ENSP00000484127	0.565299618	0.410830823
A0A087WTT1;E7EQV3;E7ERJ7;P11940-2;P11940;H0YBN4;B1ANR0;Q13310-2;Q13310;Q13310-3;H0YER0;E5RHG7;E5RGH3;E5RH24;E5RJB9;B1ANR1;H0YAS7;H0YAS6;H0YB75;H0Y6X6;H0YAR2;H0Y5F5;Q9H361	Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein 4	PABPC1	ENSG00000070756;ENSG00000090621;ENSG00000151846	ENSP00000313007;ENSP00000427805;ENSP00000427914;ENSP00000428021;ENSP00000428030;ENSP00000428190;ENSP00000428749;ENSP00000428840;ENSP00000428937;ENSP00000428948;ENSP00000429032;ENSP00000429119;ENSP00000429395;ENSP00000429594;ENSP00000429790;ENSP00000429892;ENSP00000430012;ENSP00000430159;ENSP00000430716;ENSP00000478108;ENSP00000361947;ENSP00000361948;ENSP00000361949;ENSP00000361953;ENSP00000398267;ENSP00000406675;ENSP00000408559;ENSP00000431383;ENSP00000436391;ENSP00000436407;ENSP00000436566;ENSP00000281589	9.823432182	2.73E-08
A0A087WU29;A0A0C4DFT7;P02724-3;P02724-2;P02724;Q13030;E7EQF3;E9PD10;E9PH25	Glycophorin-A	GYPA	ENSG00000170180	ENSP00000324483;ENSP00000354003;ENSP00000421243;ENSP00000425193;ENSP00000425549;ENSP00000425719;ENSP00000426130;ENSP00000445398;ENSP00000478329	4.012964846	0.000762429
